ent_id,ent_name,category
69,20d,Duration
76,2d,Duration
158,至少1年,Duration
237,超过3个月,Duration
290,5d,Duration
405,7年,Duration
476,4个月,Duration
544,2~5min,Duration
545,2.7年,Duration
592,12个月,Duration
636,至少206周,Duration
647,<52周,Duration
697,不超过1年,Duration
774,22d,Duration
823,24个月后,Duration
1006,6.5年,Duration
1074,5周,Duration
1337,2年或更长,Duration
1470,2~4,Duration
1593,6~15个月,Duration
1601,4~6,Duration
1704,d1,Duration
2160,104周,Duration
2179,超过12周,Duration
2195,≥24周,Duration
2299,72h,Duration
2335,2周后,Duration
2383,9个月,Duration
2397,1~4,Duration
2414,长达20,Duration
2533,7个月,Duration
2782,180d,Duration
2855,4年余,Duration
2874,2~6周,Duration
2915,3~6个月,Duration
3133,前3天,Duration
3171,4~7d,Duration
3276,短至1周,Duration
3280,长期,Duration
3297,12~39个月,Duration
3306,约2周,Duration
3338,3周期,Duration
3565,1年,Duration
3762,6个月后,Duration
3780,2.5~3.0h,Duration
3845,24个月,Duration
3851,大于2年,Duration
3873,12h,Duration
3990,32d,Duration
4010,6~18个月,Duration
4011,15~90d,Duration
4230,24,Duration
4262,10周,Duration
4318,6.2年,Duration
4390,18h,Duration
4404,前3个月,Duration
4466,2~3d,Duration
4507,连续7d,Duration
4583,6d,Duration
4633,1周,Duration
4713,12~24h,Duration
4717,4d,Duration
4746,3年,Duration
4813,1h,Duration
4835,78周,Duration
4875,3周,Duration
4929,4天,Duration
5009,7日,Duration
5081,48,Duration
5129,10d,Duration
5136,0.5~1.17,Duration
5154,1~2周,Duration
5171,1年半,Duration
5217,36周,Duration
5265,20余年,Duration
5333,4~6周,Duration
5449,2~3,Duration
5477,36个月,Duration
5486,4~50个月,Duration
5487,1~3个月,Duration
5581,32周,Duration
5770,45min,Duration
5780,6.9年,Duration
5785,10年,Duration
5813,3~5d,Duration
5864,18个月,Duration
5905,10~24,Duration
5908,"1~12天,中位时间3天",Duration
5951,4周,Duration
5981,5~7,Duration
6012,6周,Duration
6036,数周,Duration
6040,14d,Duration
6073,28周,Duration
6090,8个月,Duration
6094,1d,Duration
6166,半年余,Duration
6231,60d,Duration
6309,13周,Duration
6319,6,Duration
6452,10min,Duration
6687,2~5周,Duration
6743,4年,Duration
6764,1~2年,Duration
6767,6年,Duration
6920,≥1年,Duration
7010,13~16h,Duration
7025,1年后,Duration
7085,12个月后,Duration
7133,1~2,Duration
7340,4~8周,Duration
7408,1个月,Duration
7493,16h,Duration
7581,6个月,Duration
7649,7~8年,Duration
7718,超过3年,Duration
7782,3个月,Duration
7792,120h,Duration
7805,8周,Duration
7864,24h,Duration
7872,8~10,Duration
7992,5天,Duration
8037,16周,Duration
8113,12周,Duration
8169,×6周,Duration
8206,长达30,Duration
8266,15~60min,Duration
8300,12,Duration
8320,(7±3.3)个月,Duration
8428,72周,Duration
8504,10年以上,Duration
8505,大于24个月,Duration
8618,1.5h,Duration
8690,2~3周,Duration
8741,大于5年,Duration
8747,2年,Duration
8772,12天,Duration
8855,14~24,Duration
8864,5年,Duration
8902,52周,Duration
8971,≥3个月,Duration
9011,3.1年,Duration
9099,10.7年,Duration
9330,超过2年,Duration
9475,15min,Duration
9539,21日,Duration
9586,37d,Duration
9703,3h,Duration
9802,3,Duration
9849,连续1周,Duration
9896,2周,Duration
9907,7~10天,Duration
10102,3~6个月内,Duration
10144,2个月,Duration
10186,3~14,Duration
10222,6h,Duration
10589,48周,Duration
10591,12~75个月,Duration
10606,d1~5,Duration
10692,4~6个月,Duration
10797,长达1年,Duration
10816,34.5个月,Duration
10850,7周,Duration
10855,18周,Duration
10856,3.3年,Duration
10869,24周,Duration
10943,21周,Duration
11057,1~6,Duration
11195,3—6个月,Duration
11241,50周,Duration
11249,2~3h,Duration
11319,2~5d,Duration
11386,10~15min,Duration
11464,7.8年,Duration
11503,至少4周,Duration
11532,维持24h,Duration
11702,半年,Duration
11780,2h,Duration
11795,4~5,Duration
11863,0~72h,Duration
11918,7~12个月,Duration
12110,27周,Duration
12428,44周,Duration
12773,3~4h,Duration
13084,2~12,Duration
13145,8~12h,Duration
13151,5~8,Duration
13230,3~4周,Duration
13471,13~16,Duration
13535,治疗3个月,Duration
13609,至少24周,Duration
13760,<1个月,Duration
13817,4~5个月,Duration
13869,(8.0±2.1)年,Duration
13923,3个月以上,Duration
13932,前3年,Duration
14059,5~8h,Duration
14079,超过4年,Duration
14207,0.5~9.1年,Duration
14289,10~20min,Duration
14384,疗程1个月,Duration
14422,为期24周以上,Duration
14453,5.5年,Duration
14464,3d,Duration
14481,8周或更长的时间,Duration
14618,14周,Duration
14641,3~7d,Duration
14659,0~96h,Duration
14702,48h,Duration
14719,短期,Duration
14729,16~24,Duration
14784,7~10d,Duration
14867,76周,Duration
14878,1.2年,Duration
14893,8d,Duration
15074,30min,Duration
15080,16个月,Duration
15114,16d,Duration
15184,超过5年,Duration
15223,26周,Duration
15416,7d,Duration
15494,超过10年,Duration
15572,8天后,Duration
15666,48个月,Duration
15777,20周,Duration
